标题,区域,地段,小区,空间,面积,朝向,装修,楼层,建成时间,构筑物,单价每平,总价,关注,距今发布日期
花卉园精装跃层洋房，户型方正带大露台，居家生活方便,江北,花卉园,黄金堡城市花园,5室2厅,251.07平米,南,简装,低楼层(共3层),2004年建,板楼,"7,767元/平",195,60人关注,6个月以前发布
融锦城锦峰 低总价大四房，朝南朝中庭。满五唯一,江北,五里店,融景城锦峰,4室2厅,143.87平米,南,毛坯,低楼层(共40层),2014年建,塔楼,"16,126元/平",232,16人关注,11天以前发布
精品小三房朝南采光好，诚心出售，满2年，毛坯房,江北,海尔路,保利观澜悦城,3室2厅,78.08平米,西南,毛坯,低楼层(共33层),2018年建,塔楼,"22,029元/平",172,4人关注,3天以前发布
品质融景城精装小三房，朝南看中庭采光好，住家安静。,江北,五里店,融景城朗峰,3室1厅,81.5平米,南,精装,高楼层(共33层),2016年建,塔楼,"23,313元/平",190,5人关注,13天以前发布
端头三房，看公园，近轻轨站、商场,江北,石子山,龙湖源著南区,3室2厅,91.12平米,东 北,简装,32层,2012年建,板塔结合,"20,633元/平",188,18人关注,14天以前发布
观音桥位置的联排中户  带花园  背靠公园环境清净,江北,鸿恩寺,嘉凯城北麓官邸,4室3厅,230.03平米,东南,毛坯,3层,2013年建,板楼,"16,955元/平",390,9人关注,14天以前发布
龙湖物业，出行便利，门口就是龙湖北城天街,江北,观音桥,龙湖枫香庭,3室1厅,119.92平米,南 北,简装,高楼层(共32层),2002年建,塔楼,"16,261元/平",195,5人关注,8天以前发布
江北嘴旁 融景城精装大3房 看中庭 全屋带地暖,江北,五里店,融景城郦苑,3室2厅,174.4平米,东南,精装,中楼层(共40层),2013年建,塔楼,"16,916元/平",295,4人关注,5天以前发布
玉景苑 3室1厅 南,江北,观音桥,玉景苑,3室1厅,116.24平米,南,其他,中楼层(共31层),2009年建,塔楼,"15,486元/平",180,5人关注,24天以前发布
观音桥次新小区，招商的物业，出租住家都很适合,江北,观音桥,招商锦星汇,2室1厅,60.24平米,东南,精装,中楼层(共31层),2017年建,塔楼,"19,921元/平",120,15人关注,22天以前发布
观音桥红旗河沟旁 建北四支路 老房子 一房两阳台,江北,观音桥,读书一村,2室1厅,50.36平米,南,简装,中楼层(共6层),,暂无数据,"9,929元/平",50,0人关注,24天以前发布
北滨路御龙天峰优质两房急售绿化佳物业好,江北,北滨路,恒大御龙天峰,2室1厅,97.09平米,西,精装,45层,2018年建,塔楼,"21,527元/平",209,3人关注,28天以前发布
小区环境好，距离轻轨近，业主诚心卖，户型好无暗房；,江北,南桥寺,升伟新意境,2室2厅,78.52平米,东,简装,中楼层(共32层),2006年建,塔楼,"15,029元/平",118,7人关注,20天以前发布
北滨路龙湖品质次新正看来福士精装修两房拎包入住,江北,北滨路,龙湖春森彼岸四期,2室1厅,75.73平米,东,精装,50层,2018年建,塔楼,"22,185元/平",168,26人关注,27天以前发布
急售，急售，金科大三房，户型好，朝中庭居家安静,江北,石马河,金科十年城西区,3室2厅,122.41平米,东,简装,中楼层(共34层),2011年建,板塔结合,"13,888元/平",170,11人关注,17天以前发布
华丽家族精装修大四房业主诚心急售,江北,北滨路,华丽家族小区,4室2厅,139.77平米,南,精装,低楼层(共29层),2006年建,板塔结合,"10,661元/平",149,8人关注,17天以前发布
鹏润蓝海A区三房 户型方正 金科物业 近轻轨 诚心出售,江北,观音桥,鹏润蓝海A区,3室1厅,79.15平米,南,简装,26层,2009年建,塔楼,"13,898元/平",110,9人关注,16天以前发布
南方上格林黄桷苑 2室1厅 南,江北,五里店,南方上格林黄桷苑,2室1厅,79.41平米,南,简装,高楼层(共18层),2002年建,板楼,"14,105元/平",112,3人关注,8天以前发布
观音桥商圈，出行很方便，拎包入住,江北,观音桥,渝澳港湾,3室1厅,88.7平米,南,精装,中楼层(共25层),2005年建,塔楼,"13,304元/平",118,5人关注,8天以前发布
洋河花园 2室1厅 东南,江北,黄泥磅,洋河花园,2室1厅,73平米,东南,其他,中楼层(共8层),2000年建,板塔结合,"10,000元/平",73,0人关注,11天以前发布
楼梯房，位置不错，总价低，出门观音桥,江北,观音桥,建新北路三支路19号,3室2厅,74.38平米,东南,简装,高楼层(共8层),,暂无数据,"9,546元/平",71,7人关注,12天以前发布
融景城双轻轨精装三房 江北嘴 北滨路,江北,五里店,融景城臻苑,3室2厅,90.5平米,东,精装,中楼层(共40层),,塔楼,"23,757元/平",215,3人关注,2天以前发布
江北区 海尔路 1室 端户 安心卖,江北,海尔路,海语江山,1室1厅,55.29平米,东南,精装,低楼层(共32层),2013年建,塔楼,"12,661元/平",70,15人关注,16天以前发布
中海紫御江山御湾 2室1厅 东北,江北,江北嘴,中海紫御江山御湾,2室1厅,83.83平米,东北,毛坯,33层,2015年建,塔楼,"22,069元/平",185,3人关注,16天以前发布
房子满五唯一 精装看公园  看房方便,江北,石马河,万科悦湾北区,2室1厅,76.72平米,东北,精装,中楼层(共19层),2015年建,塔楼,"15,511元/平",119,21人关注,12天以前发布
五里店精装小户型 出行方便 可领包入住,江北,五里店,渝能明日城市,1室1厅,46.8平米,北,精装,高楼层(共34层),2009年建,塔楼,"12,821元/平",60,2人关注,10天以前发布
满五唯一！！朝南看中庭，拎包入住，这才是家的样子,江北,南桥寺,光华可乐小镇A区,2室2厅,71.2平米,南,精装,中楼层(共31层),2011年建,塔楼,"15,309元/平",109,6人关注,12天以前发布
万科品质楼盘，精装房，价格优惠,江北,石马河,万科悦湾北区,2室1厅,76.26平米,东南,精装,中楼层(共14层),2016年建,塔楼,"14,425元/平",110,11人关注,6天以前发布
北国风光 4室2厅 南,江北,北滨路,北国风光,4室2厅,140.53平米,南,其他,高楼层(共33层),2008年建,板塔结合,"11,742元/平",165,29人关注,13天以前发布
北滨路 春森彼岸板式洋房 精装四房 楼下轻轨 可看江,江北,北滨路,龙湖春森彼岸,4室2厅,119.73平米,南 北,精装,13层,2010年建,塔楼,"23,804元/平",285,22人关注,9天以前发布
北滨路，纯洋房社区，清水3房，诚心出售,江北,北滨路,国美江天御府,3室1厅,116.14平米,南,毛坯,中楼层(共7层),,板塔结合,"21,096元/平",245,4人关注,4天以前发布
江北区，双轻轨，户型方正，看中庭，拎包入住,江北,海尔路,中亿阳明山水,4室2厅,137.6平米,西南,精装,中楼层(共30层),2009年建,塔楼,"13,082元/平",180,37人关注,5个月以前发布
适合住家保利央企大开发商 装修保持很好住家风格,江北,南桥寺,保利香雪,3室1厅,111.85平米,南,精装,低楼层(共32层),2012年建,塔楼,"16,630元/平",186,20人关注,2个月以前发布
楼层好 视野采光无遮挡 交通便利,江北,五里店,光华龙都,3室2厅,97.88平米,东南,简装,中楼层(共18层),1999年建,塔楼,"11,137元/平",109,10人关注,一年前发布
房龄新，户型方正，住家舒适，环境不错，配套成熟，,江北,南桥寺,尚林汇景,4室2厅,130.15平米,东,毛坯,中楼层(共30层),2017年建,塔楼,"11,602元/平",151,32人关注,3个月以前发布
南桥寺轻轨旁 看中庭 带阳台 采光通风好 出行方便,江北,南桥寺,维丰南桥小区,3室1厅,86.12平米,南,精装,低楼层(共18层),2004年建,塔楼,"14,515元/平",125,5人关注,2个月以前发布
南桥寺环线轻轨旁、生活配套齐全，带露台出售,江北,南桥寺,光华可乐小镇A区,2室2厅,75.73平米,南,简装,低楼层(共31层),2013年建,塔楼,"12,545元/平",95,33人关注,1个月以前发布
吉安园茅溪小区 6室2厅 南,江北,海尔路,吉安园茅溪小区,6室2厅,152.97平米,南,简装,高楼层(共33层),2007年建,塔楼,"8,630元/平",132,103人关注,一年前发布
朝东正规三房，看公园，视野无遮挡，中间楼层看房方便,江北,南桥寺,光华可乐小镇A区,3室2厅,98.25平米,东,简装,中楼层(共32层),2013年建,塔楼,"13,945元/平",137,23人关注,1个月以前发布
江北北滨路 华润置地精装大四房 业主诚心出售,江北,大石坝,华润中央公园,5室2厅,150.06平米,南 北,精装,33层,2012年建,板塔结合,"15,328元/平",230,59人关注,4个月以前发布
精装修横厅看江 国兴北岸江山西区四房,江北,北滨路,国兴北岸江山西区,4室2厅,152.99平米,南,精装,中楼层(共33层),2014年建,板塔结合,"16,995元/平",260,48人关注,7个月以前发布
面朝嘉陵江·背靠鸿恩寺·空气清新·环境良好,江北,鸿恩寺,保利山庄江天悦,4室2厅,138.52平米,南,毛坯,7层,2019年建,塔楼,"17,687元/平",245,97人关注,一年前发布
环线轻轨旁，单价11800三房双卫，坐北朝南看中庭！,江北,南桥寺,名门山庄,3室2厅,96.41平米,南,精装,中楼层(共33层),2004年建,塔楼,"11,306元/平",109,3人关注,2个月以前发布
带70平露台，带车库，带家具家电出售，拎包入住哦！,江北,石马河,半城中央,4室2厅,186.04平米,南,精装,中楼层(共4层),,板楼,"15,696元/平",292,34人关注,1个月以前发布
此房户型方正，中高楼层，采光好，保养一般，朝向朝北,江北,观音桥,金地花园,3室1厅,102.22平米,东,精装,低楼层(共25层),,板楼,"12,523元/平",128,18人关注,一年前发布
观音桥商圈房源，近轻轨站，小区环境好，生活便利,江北,观音桥,邦兴渝珠花苑,3室2厅,114.98平米,南,简装,高楼层(共12层),2000年建,塔楼,"10,220元/平",117.5,24人关注,5个月以前发布
业主诚心出售，认可交易流程，推推推,江北,南桥寺,玉祥门B区,3室2厅,84.31平米,北,简装,中楼层(共32层),2008年建,塔楼,"11,031元/平",93,48人关注,3个月以前发布
观、红、黄、三轻轨，大三房，单价低。,江北,观音桥,北城栖院,3室2厅,121平米,东南,精装,高楼层(共16层),2000年建,板塔结合,"10,414元/平",126,2人关注,30天以前发布
此房为住家精装修，户型好，住家舒适,江北,北滨路,北国风光,3室2厅,125.69平米,南 北,精装,中楼层(共11层),2008年建,板塔结合,"12,492元/平",157,66人关注,7个月以前发布
鹏润蓝海大四房，采光好，业主诚心出售,江北,观音桥,鹏润蓝海C区,4室1厅,112.35平米,西北,简装,32层,2006年建,塔楼,"12,195元/平",137,39人关注,5个月以前发布
观音桥 鲤鱼池一村 轻轨近 生活配套齐全正规2室,江北,观音桥,鲤鱼池一村,2室2厅,65.59平米,东南,简装,高楼层(共9层),,板楼,"12,502元/平",82,5人关注,18天以前发布
石坝商圈 东原旁边 正规住家装修3房 随时看房,江北,大石坝,恋恋上层,3室2厅,79平米,东南,精装,低楼层(共26层),2010年建,板楼,"19,747元/平",156,27人关注,1个月以前发布
急售 江北区 观音桥 北滨路旁 城市经典 正规2房,江北,观音桥,城市经典,2室2厅,67.69平米,南,简装,高楼层(共29层),2010年建,板塔结合,"13,149元/平",89,35人关注,24天以前发布
精装三房，中间楼层，户型方正，采光好，拎包入住。,江北,石马河,金科十年城西区,3室1厅,112.71平米,东南,精装,中楼层(共32层),2011年建,板塔结合,"15,261元/平",172,16人关注,24天以前发布
业主诚心卖 住家安静正规三房户型好正朝南,江北,海尔路,中亿阳明山水,3室1厅,96.27平米,南,简装,中楼层(共33层),2012年建,塔楼,"15,478元/平",149,4人关注,27天以前发布
南桥寺地铁站旁精装三房，拎包入住，户型方正,江北,南桥寺,光华可乐小镇A区,3室2厅,101平米,南,精装,中楼层(共32层),2013年建,塔楼,"13,367元/平",135,5人关注,6天以前发布
户型通透，证在手，看房方便，小区环境好,江北,南桥寺,金色年华,1室1厅,54.12平米,南,精装,高楼层(共17层),2012年建,塔楼,"12,898元/平",69.8,8人关注,1个月以前发布
观音桥金典小户型，正规两室一厅。徐悲鸿旁边.,江北,观音桥,帝豪怡庭,2室1厅,60.69平米,西,简装,低楼层(共12层),2003年建,塔楼,"11,040元/平",67,10人关注,24天以前发布
龙湖朝东精装两房，年轻人喜欢，装修新且居家安静,江北,石子山,龙湖源著北区,2室1厅,58.51平米,东,精装,39层,2015年建,板塔结合,"19,655元/平",115,35人关注,23天以前发布
一室一厅  户型方正  业主诚心出售,江北,鱼嘴,和韵家园北区,1室1厅,53.23平米,东南,毛坯,中楼层(共22层),2012年建,板塔结合,"7,139元/平",38,6人关注,20天以前发布
观音桥商圈 金源路车站 凯文阳光 一室一厅,江北,北滨路,凯文阳光,1室1厅,43.26平米,南,精装,高楼层(共30层),2010年建,塔楼,"15,951元/平",69,20人关注,31天以前发布
五里店 大湾车站 精装两房 出行便利 配套齐全,江北,五里店,南方上格林黄桷苑,2室2厅,80.22平米,南,精装,低楼层(共15层),2002年建,板楼,"13,713元/平",110,5人关注,26天以前发布
首创新上两房 装修很好 户型方正,江北,大石坝,首创鸿恩国际生活区,2室1厅,83.43平米,东 东南 南,精装,低楼层(共31层),2012年建,塔楼,"15,942元/平",133,24人关注,18天以前发布
观音桥水电气三通LOFT民水民电  三合一户型,江北,鸿恩寺,保利江上明珠锦园,2室1厅,57.22平米,南,其他,13层,2015年建,塔楼,"10,451元/平",59.8,3人关注,22天以前发布
江北北滨路精装单配 商圈旁 配套成熟 看房方便,江北,北滨路,财信北岸江山东区,1室0厅,32.56平米,南,精装,低楼层(共33层),2015年建,塔楼,"17,814元/平",58,3人关注,21天以前发布
金色年华 3室2厅 西北,江北,南桥寺,金色年华,3室2厅,105.85平米,西北,精装,中楼层(共18层),2012年建,塔楼,"12,943元/平",137,12人关注,23天以前发布
合作村小区 2室1厅 东,江北,五里店,合作村小区,2室1厅,59.73平米,东,简装,高楼层(共9层),,暂无数据,"8,957元/平",53.5,6人关注,30天以前发布
正规两房  住家装修 业主诚心出售,江北,大石坝,东方港湾,2室2厅,93.32平米,西,精装,低楼层(共18层),2010年建,塔楼,"11,466元/平",107,2人关注,18天以前发布
江北嘴 住家装修 看中庭 视野开阔 户型方正 高绿化,江北,五里店,南方上格林紫微苑,3室2厅,119.64平米,北,简装,高楼层(共11层),2002年建,板楼,"12,371元/平",148,11人关注,17天以前发布
御景天成 1室1厅 东南,江北,黄泥磅,御景天成,1室1厅,50.25平米,东南,精装,高楼层(共27层),2006年建,塔楼,"15,921元/平",80,1人关注,29天以前发布
比邻九街 出则繁华 入则宁静 诚心出售,江北,观音桥,青青雅舍,2室1厅,83平米,东,精装,中楼层(共33层),2007年建,塔楼,"13,254元/平",110,3人关注,29天以前发布
海语江山 2室1厅 东,江北,海尔路,海语江山,2室1厅,75.76平米,东,精装,高楼层(共32层),2013年建,塔楼,"14,388元/平",109,7人关注,6天以前发布
装修好，户型方正，拎包入住，看房方便,江北,龙头寺,鲁能星城八街区,2室2厅,93.21平米,北,精装,低楼层(共33层),2007年建,塔楼,"15,020元/平",140,1人关注,6天以前发布
住家精装修，三房双卫，全实木家具，楼层好 视野好,江北,海尔路,北大资源·江山名门B区,3室2厅,109平米,东南 南,精装,33层,2016年建,塔楼,"13,578元/平",148,16人关注,30天以前发布
南北朝向，一面正看来福士，一面看小区中庭，安静,江北,海尔路,金科廊桥水岸(江北),4室1厅,141.61平米,东南 南,毛坯,低楼层(共33层),2008年建,板塔结合,"14,547元/平",206,21人关注,3个月以前发布
此房位于观音桥九街，望海花市旁小区绿化环境清幽,江北,观音桥,邦兴渝珠花苑,5室2厅,177.84平米,南,简装,中楼层(共12层),2000年建,塔楼,"9,503元/平",169,5人关注,1个月以前发布
承誉德天下城 2室1厅 东,江北,南桥寺,承誉德天下城,2室1厅,57平米,东,精装,中楼层(共32层),2009年建,塔楼,"14,913元/平",85,9人关注,6天以前发布
北京金融街 融景城锦峰 清水四房 高层 采光充足,江北,五里店,融景城锦峰,4室2厅,143.87平米,北,毛坯,高楼层(共40层),2014年建,塔楼,"16,543元/平",238,147人关注,一年前发布
远看山有色，近听花鸟声，精装大两房 ，采光棒，,江北,石马河,壹江城,2室1厅,87.07平米,西南,精装,低楼层(共31层),,塔楼,"12,634元/平",110,5人关注,14天以前发布
正规一室一厅，户型方正，业主诚心出售,江北,石马河,民悦新居,1室1厅,46.48平米,东,精装,高楼层(共17层),2016年建,板塔结合,"12,909元/平",60,4人关注,13天以前发布
业主诚心卖，中间楼层  近商圈，近轻轨，近公园,江北,大石坝,百年馨苑,2室2厅,78.75平米,西南,简装,中楼层(共18层),2013年建,塔楼,"12,445元/平",98,18人关注,14天以前发布
楼层采光好，近轻轨，近商场，业主诚心售卖。,江北,大石坝,东原D8公馆,1室1厅,33.57平米,南,简装,中楼层(共32层),2015年建,塔楼,"14,150元/平",47.5,8人关注,5天以前发布
两江四岸北滨路纯洋房 住家品质好 业主诚心出售,江北,北滨路,国美江天御府,3室2厅,110.84平米,南,毛坯,低楼层(共11层),,板塔结合,"20,390元/平",226,22人关注,15天以前发布
中海紫御江山紫峰 3室2厅 西,江北,江北嘴,中海紫御江山紫峰,3室2厅,112.98平米,西,毛坯,48层,2013年建,板塔结合,"19,916元/平",225,0人关注,4天以前发布
住家精装两房 户型方正 无浪费面积 采光通透。,江北,观音桥,光华观府国际,2室1厅,94.85平米,东南,精装,34层,2010年建,板塔结合,"17,871元/平",169.5,75人关注,6个月以前发布
配套齐全，可以满足日常生活需求,江北,龙头寺,丰业御景铭洲,3室2厅,115.22平米,南,精装,高楼层(共26层),2008年建,塔楼,"12,412元/平",143,15人关注,7个月以前发布
双地铁480米  精装端户 双阳台户型好  通气住宅小户,江北,海尔路,海语江山,1室1厅,58.58平米,南,精装,高楼层(共32层),2013年建,塔楼,"13,486元/平",79,27人关注,10个月以前发布
三二四医院门口 位置好 诚心出售随时可看 证在手交易,江北,观音桥,建新东路83号,2室1厅,54.97平米,南,简装,低楼层(共8层),,板塔结合,"9,278元/平",51,8人关注,4个月以前发布
观音桥商圈内的楼盘，交通四通八达，水电气三通,江北,观音桥,金鹏北城旺角,1室1厅,55.66平米,东南,简装,低楼层(共31层),2009年建,板塔结合,"14,373元/平",80,19人关注,1个月以前发布
业主诚心卖 近商圈 近轻轨 随时可看房 采光视野好,江北,大石坝,百年馨苑,3室1厅,90.41平米,东南,简装,中楼层(共18层),2013年建,塔楼,"13,052元/平",118,85人关注,5个月以前发布
双轻轨 出行方便 精装修拎包入住,江北,观音桥,祺山品阁,2室1厅,50.99平米,南,精装,低楼层(共32层),2010年建,塔楼,"17,455元/平",89,55人关注,2个月以前发布
户型方正 朝南 看小区中庭 物业好,江北,观音桥,龙湖枫香庭,2室2厅,86.68平米,南,简装,低楼层(共32层),2002年建,塔楼,"16,729元/平",145,11人关注,4个月以前发布
江北 观音桥 城市印象 两房带外阳台 诚心出售,江北,观音桥,城市印象,2室1厅,52.78平米,南,精装,高楼层(共23层),2007年建,塔楼,"16,673元/平",88,16人关注,2个月以前发布
观音桥商圈轻轨站门口精装两房带阳台,江北,观音桥,宏基大厦,2室2厅,91.5平米,南,简装,低楼层(共34层),2003年建,塔楼,"13,990元/平",128,0人关注,1个月以前发布
此房精装修八成新，住家保持很好，居家安静,江北,南桥寺,阳光花城,2室1厅,68平米,北,简装,高楼层(共34层),2010年建,塔楼,"11,589元/平",78.8,30人关注,3个月以前发布
北滨路纯洋房别墅社区洋房端户 板式结构 带多露台,江北,北滨路,国美江天御府,3室2厅,134.28平米,西南,毛坯,低楼层(共6层),,板楼,"20,257元/平",272,41人关注,一年前发布
国奥村精装三房，户型方正，通透采光好。,江北,石马河,国奥村二期,3室1厅,81.13平米,南 北,精装,中楼层(共33层),2014年建,塔楼,"17,257元/平",140,14人关注,4个月以前发布
带车位 精装修 装修保持好 朝中庭 诚心出售,江北,大石坝,首创鸿恩国际生活区,3室2厅,101.84平米,东南,精装,中楼层(共33层),2012年建,塔楼,"16,301元/平",166,61人关注,5个月以前发布
高楼层视野无遮挡，采光良好，近商圈,江北,北滨路,华丽家族小区,4室2厅,146.9平米,南,简装,高楼层(共29层),2006年建,板塔结合,"9,973元/平",146.5,1人关注,1个月以前发布
品质大盘 视野开阔 住家安静 业主置换 忍痛割爱,江北,大石坝,首创鸿恩国际生活区,3室2厅,104.95平米,西,精装,高楼层(共31层),2012年建,塔楼,"16,103元/平",169,34人关注,6个月以前发布
九街精装修住宅大户型交通方便生活便利诚心出售,江北,五里店,长安丽都,3室2厅,123.4平米,南,简装,中楼层(共18层),2008年建,塔楼,"14,749元/平",182,104人关注,6个月以前发布
江北区，次新小区，小区环境好，买来即收租,江北,海尔路,港城印象东区,2室1厅,88.47平米,东 南,简装,低楼层(共24层),2015年建,塔楼,"9,269元/平",82,13人关注,3个月以前发布
两房功能，户型紧凑方正，采光好,江北,南桥寺,光华可乐小镇A区,2室1厅,64.05平米,南,精装,高楼层(共31层),2013年建,塔楼,"14,520元/平",93,25人关注,4个月以前发布
带露台正规两房，住家装修看房方便,江北,海尔路,港城印象东区,2室2厅,85.28平米,南,精装,低楼层(共24层),2015年建,塔楼,"10,906元/平",93,62人关注,5个月以前发布
江北大石坝九村网红打卡地 三房 住家安静,江北,大石坝,绿地新都会,3室1厅,76.67平米,南 北,简装,低楼层(共31层),2012年建,塔楼,"14,217元/平",109,49人关注,5个月以前发布
凤凰湾精装大平层，3梯4户  电梯入户,江北,石马河,凤凰湾驭府,4室1厅,126.59平米,西北 东北,精装,低楼层(共18层),2013年建,板楼,"15,389元/平",194.8,32人关注,2个月以前发布
洋河花园电梯精装三室两厅两卫 出行住家方便拎包入住,江北,黄泥磅,洋河花园,3室2厅,129.6平米,东,精装,中楼层(共33层),2000年建,板塔结合,"11,497元/平",149,7人关注,1个月以前发布
3房+书房  居家装修 诚心卖 随时可以看,江北,龙头寺,鲁能星城十二街区,4室1厅,119.99平米,南,精装,中楼层(共32层),2010年建,板塔结合,"15,418元/平",185,110人关注,3个月以前发布
观音桥轻轨小三房，精装修，业主诚心出售,江北,观音桥,银都公寓,3室1厅,78.22平米,南,精装,低楼层(共24层),2004年建,塔楼,"11,762元/平",92,39人关注,1个月以前发布
大石坝跃层精装三房 视野采光都不错 业主诚心出售,江北,大石坝,东海岸,3室2厅,86平米,东,简装,中楼层(共17层),2010年建,板塔结合,"12,210元/平",105,49人关注,3个月以前发布
北滨之上 鸿恩之巅  保利品质楼盘 精装,江北,鸿恩寺,保利江上明珠四期,3室2厅,105.32平米,南,精装,低楼层(共17层),2012年建,塔楼,"15,363元/平",161.8,38人关注,3个月以前发布
阳光花城精装八成新两房，坐北朝南，视野开阔很漂亮！,江北,南桥寺,阳光花城,2室1厅,65.91平米,南,精装,高楼层(共34层),2010年建,塔楼,"13,655元/平",90,42人关注,6个月以前发布
凤凰湾驭峰 精装三房 半山俱乐部 车位充足 住家安静,江北,石马河,凤凰湾驭峰,3室2厅,89.61平米,南,精装,低楼层(共18层),2014年建,塔楼,"15,568元/平",139.5,17人关注,1个月以前发布
融景城朗峰 清水正规两房 业主诚心出售,江北,五里店,融景城朗峰,2室2厅,68.45平米,西,毛坯,高楼层(共33层),2018年建,塔楼,"21,622元/平",148,37人关注,1个月以前发布
大湾车站 南方上格林 正规两房 户型方正 视野开阔,江北,五里店,南方上格林黄桷苑,2室2厅,80.22平米,南,简装,中楼层(共15层),2002年建,板楼,"13,090元/平",105,114人关注,9个月以前发布
精装修，看小区中庭，西南向，业主诚心出售,江北,海尔路,保利观澜,3室1厅,83.55平米,西南,精装,30层,2016年建,板塔结合,"21,784元/平",182,46人关注,2个月以前发布
江北盘溪正规两房 户型方正 采光不错 配套成熟,江北,南桥寺,明渝南桥丽景,2室1厅,73.28平米,西,精装,高楼层(共29层),2008年建,塔楼,"12,146元/平",89,27人关注,2个月以前发布
巴川量子旁 正朝南 清水两房 业主诚心出售 看房方便,江北,五里店,新鸥鹏教育城一期,2室1厅,69.18平米,南,毛坯,31层,2017年建,塔楼,"23,129元/平",160,25人关注,6个月以前发布
江北嘴9号线溉北站，4房2卫带书房东南看中庭,江北,海尔路,保利观澜,4室2厅,138.87平米,东南,毛坯,33层,2016年建,塔楼,"18,363元/平",255,41人关注,6个月以前发布
小区位置好，绿化环境好，配套设施全，出行方便！,江北,鱼嘴,巨龙江山国际三期,3室2厅,107.62平米,南,精装,中楼层(共25层),,暂无数据,"10,315元/平",111,1人关注,1个月以前发布
江北盘溪成熟小区，小区环境安静舒适。,江北,南桥寺,明渝南桥丽景,2室1厅,64.92平米,北,精装,低楼层(共31层),2008年建,塔楼,"12,323元/平",80,14人关注,1个月以前发布
观音桥商圈  小区环境优  配套齐全  业主急售,江北,观音桥,耐德佳苑,2室2厅,74.93平米,东,精装,中楼层(共34层),2009年建,板塔结合,"15,615元/平",117,8人关注,1个月以前发布
金科花园，电梯精装三房急售，出门轻轨站！,江北,五里店,金科花园,3室1厅,78.46平米,南,精装,高楼层(共11层),2001年建,塔楼,"14,645元/平",114.9,8人关注,1个月以前发布
融景城澜岸 清水 一线看江 四房,江北,北滨路,融景城澜岸,4室2厅,145.06平米,南,毛坯,38层,2013年建,塔楼,"19,303元/平",280,134人关注,一年前发布
小高层顶跃5房 使用面积约250平米 带两个大花园,江北,石马河,大川水岸,5室3厅,137.82平米,东,精装,12层,,板楼,"13,279元/平",183,20人关注,31天以前发布
业主诚心卖，价格合适，看房方便。,江北,海尔路,北大资源海樾府D区,3室1厅,80.31平米,南,精装,中楼层(共33层),,塔楼,"14,818元/平",119,16人关注,3个月以前发布
大石坝商圈 住家装修  楼层户型采光好,江北,大石坝,首创鸿恩国际生活区,3室2厅,104.95平米,东南,精装,高楼层(共31层),2012年建,塔楼,"15,722元/平",165,43人关注,4个月以前发布
户型通透，证在手，看房方便，小区环境好,江北,南桥寺,金色年华,3室2厅,105.92平米,南,精装,中楼层(共17层),,塔楼,"12,557元/平",133,4人关注,1个月以前发布
凤凰湾天悦装修三房 看湖视野佳 别墅区湖景小高层,江北,石马河,凤凰湾天悦,3室2厅,85.8平米,东南 南,精装,中楼层(共18层),2018年建,塔楼,"17,833元/平",153,48人关注,5个月以前发布
观音桥商圈，保利品质，清水三房双卫,江北,鸿恩寺,保利江上明珠乐园,3室1厅,84.31平米,东南,毛坯,33层,2017年建,塔楼,"16,962元/平",143,64人关注,5个月以前发布
