区域,地段,小区,空间,面积,朝向,装修,楼层,建成时间,单价每平,总价
江北,观音桥,招商锦星汇,2室1厅,60.24平米,东南,精装,中楼层(共31层),2017年建,"19,921元/平",120.0
江北,北滨路,恒大御龙天峰,2室1厅,97.09平米,西,精装,45层,2018年建,"21,527元/平",209.0
江北,南桥寺,升伟新意境,2室2厅,78.52平米,东,简装,中楼层(共32层),2006年建,"15,029元/平",118.0
江北,北滨路,龙湖春森彼岸四期,2室1厅,75.73平米,东,精装,50层,2018年建,"22,185元/平",168.0
江北,石马河,金科十年城西区,3室2厅,122.41平米,东,简装,中楼层(共34层),2011年建,"13,888元/平",170.0
江北,北滨路,华丽家族小区,4室2厅,139.77平米,南,精装,低楼层(共29层),2006年建,"10,661元/平",149.0
江北,观音桥,鹏润蓝海A区,3室1厅,79.15平米,南,简装,26层,2009年建,"13,898元/平",110.0
江北,五里店,南方上格林黄桷苑,2室1厅,79.41平米,南,简装,高楼层(共18层),2002年建,"14,105元/平",112.0
江北,观音桥,渝澳港湾,3室1厅,88.7平米,南,精装,中楼层(共25层),2005年建,"13,304元/平",118.0
江北,黄泥磅,洋河花园,2室1厅,73平米,东南,其他,中楼层(共8层),2000年建,"10,000元/平",73.0
江北,海尔路,海语江山,1室1厅,55.29平米,东南,精装,低楼层(共32层),2013年建,"12,661元/平",70.0
江北,江北嘴,中海紫御江山御湾,2室1厅,83.83平米,东北,毛坯,33层,2015年建,"22,069元/平",185.0
江北,石马河,万科悦湾北区,2室1厅,76.72平米,东北,精装,中楼层(共19层),2015年建,"15,511元/平",119.0
江北,五里店,渝能明日城市,1室1厅,46.8平米,北,精装,高楼层(共34层),2009年建,"12,821元/平",60.0
江北,南桥寺,光华可乐小镇A区,2室2厅,71.2平米,南,精装,中楼层(共31层),2011年建,"15,309元/平",109.0
江北,石马河,万科悦湾北区,2室1厅,76.26平米,东南,精装,中楼层(共14层),2016年建,"14,425元/平",110.0
江北,北滨路,北国风光,4室2厅,140.53平米,南,其他,高楼层(共33层),2008年建,"11,742元/平",165.0
江北,北滨路,龙湖春森彼岸,4室2厅,119.73平米,南 北,精装,13层,2010年建,"23,804元/平",285.0
江北,海尔路,中亿阳明山水,4室2厅,137.6平米,西南,精装,中楼层(共30层),2009年建,"13,082元/平",180.0
江北,南桥寺,保利香雪,3室1厅,111.85平米,南,精装,低楼层(共32层),2012年建,"16,630元/平",186.0
江北,五里店,光华龙都,3室2厅,97.88平米,东南,简装,中楼层(共18层),1999年建,"11,137元/平",109.0
江北,南桥寺,尚林汇景,4室2厅,130.15平米,东,毛坯,中楼层(共30层),2017年建,"11,602元/平",151.0
江北,南桥寺,维丰南桥小区,3室1厅,86.12平米,南,精装,低楼层(共18层),2004年建,"14,515元/平",125.0
江北,南桥寺,光华可乐小镇A区,2室2厅,75.73平米,南,简装,低楼层(共31层),2013年建,"12,545元/平",95.0
江北,海尔路,吉安园茅溪小区,6室2厅,152.97平米,南,简装,高楼层(共33层),2007年建,"8,630元/平",132.0
江北,南桥寺,光华可乐小镇A区,3室2厅,98.25平米,东,简装,中楼层(共32层),2013年建,"13,945元/平",137.0
江北,大石坝,华润中央公园,5室2厅,150.06平米,南 北,精装,33层,2012年建,"15,328元/平",230.0
江北,北滨路,国兴北岸江山西区,4室2厅,152.99平米,南,精装,中楼层(共33层),2014年建,"16,995元/平",260.0
江北,鸿恩寺,保利山庄江天悦,4室2厅,138.52平米,南,毛坯,7层,2019年建,"17,687元/平",245.0
江北,南桥寺,名门山庄,3室2厅,96.41平米,南,精装,中楼层(共33层),2004年建,"11,306元/平",109.0
江北,观音桥,邦兴渝珠花苑,3室2厅,114.98平米,南,简装,高楼层(共12层),2000年建,"10,220元/平",117.5
江北,南桥寺,玉祥门B区,3室2厅,84.31平米,北,简装,中楼层(共32层),2008年建,"11,031元/平",93.0
江北,观音桥,北城栖院,3室2厅,121平米,东南,精装,高楼层(共16层),2000年建,"10,414元/平",126.0
江北,北滨路,北国风光,3室2厅,125.69平米,南 北,精装,中楼层(共11层),2008年建,"12,492元/平",157.0
江北,观音桥,鹏润蓝海C区,4室1厅,112.35平米,西北,简装,32层,2006年建,"12,195元/平",137.0
江北,大石坝,恋恋上层,3室2厅,79平米,东南,精装,低楼层(共26层),2010年建,"19,747元/平",156.0
江北,观音桥,城市经典,2室2厅,67.69平米,南,简装,高楼层(共29层),2010年建,"13,149元/平",89.0
江北,石马河,金科十年城西区,3室1厅,112.71平米,东南,精装,中楼层(共32层),2011年建,"15,261元/平",172.0
江北,海尔路,中亿阳明山水,3室1厅,96.27平米,南,简装,中楼层(共33层),2012年建,"15,478元/平",149.0
江北,南桥寺,光华可乐小镇A区,3室2厅,101平米,南,精装,中楼层(共32层),2013年建,"13,367元/平",135.0
江北,南桥寺,金色年华,1室1厅,54.12平米,南,精装,高楼层(共17层),2012年建,"12,898元/平",69.8
江北,观音桥,帝豪怡庭,2室1厅,60.69平米,西,简装,低楼层(共12层),2003年建,"11,040元/平",67.0
江北,石子山,龙湖源著北区,2室1厅,58.51平米,东,精装,39层,2015年建,"19,655元/平",115.0
江北,鱼嘴,和韵家园北区,1室1厅,53.23平米,东南,毛坯,中楼层(共22层),2012年建,"7,139元/平",38.0
江北,北滨路,凯文阳光,1室1厅,43.26平米,南,精装,高楼层(共30层),2010年建,"15,951元/平",69.0
江北,五里店,南方上格林黄桷苑,2室2厅,80.22平米,南,精装,低楼层(共15层),2002年建,"13,713元/平",110.0
江北,大石坝,首创鸿恩国际生活区,2室1厅,83.43平米,东 东南 南,精装,低楼层(共31层),2012年建,"15,942元/平",133.0
江北,鸿恩寺,保利江上明珠锦园,2室1厅,57.22平米,南,其他,13层,2015年建,"10,451元/平",59.8
江北,北滨路,财信北岸江山东区,1室0厅,32.56平米,南,精装,低楼层(共33层),2015年建,"17,814元/平",58.0
江北,南桥寺,金色年华,3室2厅,105.85平米,西北,精装,中楼层(共18层),2012年建,"12,943元/平",137.0
江北,大石坝,东方港湾,2室2厅,93.32平米,西,精装,低楼层(共18层),2010年建,"11,466元/平",107.0
江北,五里店,南方上格林紫微苑,3室2厅,119.64平米,北,简装,高楼层(共11层),2002年建,"12,371元/平",148.0
江北,黄泥磅,御景天成,1室1厅,50.25平米,东南,精装,高楼层(共27层),2006年建,"15,921元/平",80.0
江北,观音桥,青青雅舍,2室1厅,83平米,东,精装,中楼层(共33层),2007年建,"13,254元/平",110.0
江北,海尔路,海语江山,2室1厅,75.76平米,东,精装,高楼层(共32层),2013年建,"14,388元/平",109.0
江北,龙头寺,鲁能星城八街区,2室2厅,93.21平米,北,精装,低楼层(共33层),2007年建,"15,020元/平",140.0
江北,海尔路,北大资源·江山名门B区,3室2厅,109平米,东南 南,精装,33层,2016年建,"13,578元/平",148.0
江北,海尔路,金科廊桥水岸(江北),4室1厅,141.61平米,东南 南,毛坯,低楼层(共33层),2008年建,"14,547元/平",206.0
江北,观音桥,邦兴渝珠花苑,5室2厅,177.84平米,南,简装,中楼层(共12层),2000年建,"9,503元/平",169.0
江北,南桥寺,承誉德天下城,2室1厅,57平米,东,精装,中楼层(共32层),2009年建,"14,913元/平",85.0
江北,五里店,融景城锦峰,4室2厅,143.87平米,北,毛坯,高楼层(共40层),2014年建,"16,543元/平",238.0
江北,石马河,民悦新居,1室1厅,46.48平米,东,精装,高楼层(共17层),2016年建,"12,909元/平",60.0
江北,大石坝,百年馨苑,2室2厅,78.75平米,西南,简装,中楼层(共18层),2013年建,"12,445元/平",98.0
江北,大石坝,东原D8公馆,1室1厅,33.57平米,南,简装,中楼层(共32层),2015年建,"14,150元/平",47.5
江北,江北嘴,中海紫御江山紫峰,3室2厅,112.98平米,西,毛坯,48层,2013年建,"19,916元/平",225.0
江北,观音桥,光华观府国际,2室1厅,94.85平米,东南,精装,34层,2010年建,"17,871元/平",169.5
江北,龙头寺,丰业御景铭洲,3室2厅,115.22平米,南,精装,高楼层(共26层),2008年建,"12,412元/平",143.0
江北,海尔路,海语江山,1室1厅,58.58平米,南,精装,高楼层(共32层),2013年建,"13,486元/平",79.0
江北,观音桥,金鹏北城旺角,1室1厅,55.66平米,东南,简装,低楼层(共31层),2009年建,"14,373元/平",80.0
江北,大石坝,百年馨苑,3室1厅,90.41平米,东南,简装,中楼层(共18层),2013年建,"13,052元/平",118.0
江北,观音桥,祺山品阁,2室1厅,50.99平米,南,精装,低楼层(共32层),2010年建,"17,455元/平",89.0
江北,观音桥,龙湖枫香庭,2室2厅,86.68平米,南,简装,低楼层(共32层),2002年建,"16,729元/平",145.0
江北,观音桥,城市印象,2室1厅,52.78平米,南,精装,高楼层(共23层),2007年建,"16,673元/平",88.0
江北,观音桥,宏基大厦,2室2厅,91.5平米,南,简装,低楼层(共34层),2003年建,"13,990元/平",128.0
江北,南桥寺,阳光花城,2室1厅,68平米,北,简装,高楼层(共34层),2010年建,"11,589元/平",78.8
江北,石马河,国奥村二期,3室1厅,81.13平米,南 北,精装,中楼层(共33层),2014年建,"17,257元/平",140.0
江北,大石坝,首创鸿恩国际生活区,3室2厅,101.84平米,东南,精装,中楼层(共33层),2012年建,"16,301元/平",166.0
江北,北滨路,华丽家族小区,4室2厅,146.9平米,南,简装,高楼层(共29层),2006年建,"9,973元/平",146.5
江北,大石坝,首创鸿恩国际生活区,3室2厅,104.95平米,西,精装,高楼层(共31层),2012年建,"16,103元/平",169.0
江北,五里店,长安丽都,3室2厅,123.4平米,南,简装,中楼层(共18层),2008年建,"14,749元/平",182.0
江北,海尔路,港城印象东区,2室1厅,88.47平米,东 南,简装,低楼层(共24层),2015年建,"9,269元/平",82.0
江北,南桥寺,光华可乐小镇A区,2室1厅,64.05平米,南,精装,高楼层(共31层),2013年建,"14,520元/平",93.0
江北,海尔路,港城印象东区,2室2厅,85.28平米,南,精装,低楼层(共24层),2015年建,"10,906元/平",93.0
江北,大石坝,绿地新都会,3室1厅,76.67平米,南 北,简装,低楼层(共31层),2012年建,"14,217元/平",109.0
江北,石马河,凤凰湾驭府,4室1厅,126.59平米,西北 东北,精装,低楼层(共18层),2013年建,"15,389元/平",194.8
江北,黄泥磅,洋河花园,3室2厅,129.6平米,东,精装,中楼层(共33层),2000年建,"11,497元/平",149.0
江北,龙头寺,鲁能星城十二街区,4室1厅,119.99平米,南,精装,中楼层(共32层),2010年建,"15,418元/平",185.0
江北,观音桥,银都公寓,3室1厅,78.22平米,南,精装,低楼层(共24层),2004年建,"11,762元/平",92.0
江北,大石坝,东海岸,3室2厅,86平米,东,简装,中楼层(共17层),2010年建,"12,210元/平",105.0
江北,鸿恩寺,保利江上明珠四期,3室2厅,105.32平米,南,精装,低楼层(共17层),2012年建,"15,363元/平",161.8
江北,南桥寺,阳光花城,2室1厅,65.91平米,南,精装,高楼层(共34层),2010年建,"13,655元/平",90.0
江北,石马河,凤凰湾驭峰,3室2厅,89.61平米,南,精装,低楼层(共18层),2014年建,"15,568元/平",139.5
江北,五里店,融景城朗峰,2室2厅,68.45平米,西,毛坯,高楼层(共33层),2018年建,"21,622元/平",148.0
江北,五里店,南方上格林黄桷苑,2室2厅,80.22平米,南,简装,中楼层(共15层),2002年建,"13,090元/平",105.0
江北,海尔路,保利观澜,3室1厅,83.55平米,西南,精装,30层,2016年建,"21,784元/平",182.0
江北,南桥寺,明渝南桥丽景,2室1厅,73.28平米,西,精装,高楼层(共29层),2008年建,"12,146元/平",89.0
江北,五里店,新鸥鹏教育城一期,2室1厅,69.18平米,南,毛坯,31层,2017年建,"23,129元/平",160.0
江北,海尔路,保利观澜,4室2厅,138.87平米,东南,毛坯,33层,2016年建,"18,363元/平",255.0
江北,南桥寺,明渝南桥丽景,2室1厅,64.92平米,北,精装,低楼层(共31层),2008年建,"12,323元/平",80.0
江北,观音桥,耐德佳苑,2室2厅,74.93平米,东,精装,中楼层(共34层),2009年建,"15,615元/平",117.0
江北,五里店,金科花园,3室1厅,78.46平米,南,精装,高楼层(共11层),2001年建,"14,645元/平",114.9
江北,北滨路,融景城澜岸,4室2厅,145.06平米,南,毛坯,38层,2013年建,"19,303元/平",280.0
江北,大石坝,首创鸿恩国际生活区,3室2厅,104.95平米,东南,精装,高楼层(共31层),2012年建,"15,722元/平",165.0
江北,石马河,凤凰湾天悦,3室2厅,85.8平米,东南 南,精装,中楼层(共18层),2018年建,"17,833元/平",153.0
江北,鸿恩寺,保利江上明珠乐园,3室1厅,84.31平米,东南,毛坯,33层,2017年建,"16,962元/平",143.0
江北,南桥寺,保利香雪,2室1厅,77.87平米,东南,简装,32层,2011年建,"16,567元/平",129.0
江北,北滨路,融景城澜岸,4室2厅,142.68平米,南,精装,46层,2013年建,"18,223元/平",260.0
江北,花卉园,富悦阳光,1室1厅,44.05平米,东,精装,低楼层(共32层),2007年建,"13,576元/平",59.8
江北,五里店,融景城臻苑,4室2厅,113.77平米,南,毛坯,中楼层(共40层),2019年建,"22,854元/平",260.0
江北,海尔路,北大资源·江山名门B区,3室2厅,95.53平米,东南,毛坯,33层,2016年建,"12,562元/平",120.0
江北,观音桥,耐德佳苑,2室2厅,85.81平米,东南,精装,中楼层(共34层),2005年建,"14,101元/平",121.0
江北,观音桥,梦幻21公寓,3室2厅,135.86平米,东南,简装,高楼层(共21层),2002年建,"10,747元/平",146.0
江北,观音桥,半山华府,3室2厅,122.65平米,南,精装,30层,2012年建,"15,084元/平",185.0
江北,龙头寺,瑞同优米,2室1厅,51.23平米,南,精装,中楼层(共34层),2017年建,"16,788元/平",86.0
江北,花卉园,富悦阳光,1室1厅,44.05平米,东南,精装,高楼层(共32层),2007年建,"12,850元/平",56.6
江北,大石坝,东方港湾,3室2厅,166.99平米,南,精装,高楼层(共18层),2007年建,"10,049元/平",167.8
江北,鸿恩寺,新城绿洲,2室2厅,95.33平米,东,精装,高楼层(共29层),2006年建,"12,693元/平",121.0
江北,石马河,凤凰湾天悦,3室2厅,85.8平米,南,简装,高楼层(共18层),2018年建,"17,483元/平",150.0
江北,北滨路,财信北岸江山东区,3室1厅,80.35平米,西南,精装,高楼层(共33层),2015年建,"18,669元/平",150.0
江北,观音桥,城市经典,2室1厅,66.98平米,南,精装,中楼层(共34层),2012年建,"13,288元/平",89.0
江北,鸿恩寺,保利江上明珠锦园,3室1厅,56.19平米,南,精装,13层,2015年建,"13,882元/平",78.0
江北,江北嘴,万科御澜道,4室1厅,166.57平米,西北,毛坯,中楼层(共45层),2016年建,"19,512元/平",325.0
江北,江北嘴,中海紫御江山熙岸,3室1厅,118.02平米,东,精装,低楼层(共49层),2016年建,"23,302元/平",275.0
江北,五里店,融景城朗峰,3室1厅,80.47平米,南,精装,中楼层(共33层),2018年建,"24,357元/平",196.0
江北,龙头寺,鲁能星城十街区,3室2厅,115.7平米,南,精装,高楼层(共32层),2009年建,"14,348元/平",166.0
江北,江北嘴,中海紫御江山天誉,3室1厅,100平米,东,精装,中楼层(共47层),2018年建,"29,900元/平",299.0
江北,龙头寺,庆业九寨印象,3室2厅,124平米,南,毛坯,高楼层(共34层),2013年建,"13,871元/平",172.0
江北,海尔路,保利观澜,3室2厅,71.85平米,东北,精装,32层,2016年建,"24,496元/平",176.0
江北,龙头寺,庆业九寨印象,3室2厅,104.74平米,北,毛坯,低楼层(共34层),2014年建,"14,513元/平",152.0
江北,江北嘴,新鸥鹏教育城二期,3室1厅,76.14平米,西南,精装,低楼层(共32层),2018年建,"25,191元/平",191.8
江北,大石坝,首创鸿恩中心,1室0厅,44.85平米,东南,精装,中楼层(共43层),2015年建,"13,601元/平",61.0
江北,江北嘴,中海紫御江山熙岸,3室1厅,119.19平米,东,精装,低楼层(共49层),2016年建,"22,486元/平",268.0
江北,石子山,两江春城春铭苑,3室2厅,127.75平米,南,精装,低楼层(共11层),2016年建,"29,355元/平",375.0
江北,五里店,长安丽都,3室1厅,132.25平米,西南,精装,低楼层(共11层),2008年建,"17,241元/平",228.0
江北,五里店,长安景苑,5室2厅,182.2平米,东南 南,精装,高楼层(共11层),2015年建,"10,429元/平",190.0
江北,五里店,工商局综合楼,3室2厅,157.85平米,东南,简装,高楼层(共26层),2006年建,"7,729元/平",122.0
江北,石马河,凤凰湾驭府,5室2厅,182.28平米,东北,精装,高楼层(共11层),2013年建,"13,606元/平",248.0
江北,海尔路,金科廊桥水岸(江北),4室1厅,88.22平米,东南,其他,低楼层(共10层),2008年建,"17,003元/平",150.0
江北,石马河,金科十年城北区,2室2厅,77.67平米,东,精装,中楼层(共33层),2013年建,"17,124元/平",133.0
江北,观音桥,金地花园,2室1厅,84.88平米,南,精装,低楼层(共29层),2009年建,"12,960元/平",110.0
江北,石马河,金科十年城东区,3室2厅,96.22平米,南,简装,高楼层(共29层),2008年建,"14,550元/平",140.0
江北,北滨路,锦绣北滨,3室2厅,94.9平米,西南,精装,中楼层(共32层),2008年建,"13,172元/平",125.0
江北,观音桥,旭阳朗晴广场,2室1厅,83.46平米,东南,精装,中楼层(共45层),2009年建,"10,305元/平",86.0
江北,观音桥,城市经典,2室1厅,61.96平米,东 南,精装,高楼层(共34层),2010年建,"15,172元/平",94.0
江北,鸿恩寺,鸿恩怡园,2室1厅,77.01平米,南,其他,中楼层(共6层),2009年建,"7,792元/平",60.0
江北,江北嘴,阳光城天澜道11号,2室1厅,71.18平米,东南,精装,31层,2015年建,"16,578元/平",118.0
江北,观音桥,城市印象,2室1厅,51.55平米,南,简装,低楼层(共24层),2007年建,"15,325元/平",79.0
江北,石马河,金科十年城北区,3室1厅,112.38平米,西,精装,中楼层(共34层),2013年建,"15,573元/平",175.0
江北,观音桥,瑜然星座,2室2厅,65.93平米,南,精装,低楼层(共33层),2008年建,"11,983元/平",79.0
江北,大石坝,绿地新都会,3室1厅,77.6平米,南,简装,低楼层(共31层),2012年建,"14,176元/平",110.0
江北,鸿恩寺,财信北岸江山北区,3室1厅,97.44平米,西北,精装,中楼层(共33层),2018年建,"17,242元/平",168.0
江北,观音桥,金地花园,2室1厅,84.3平米,南,精装,中楼层(共29层),2007年建,"13,286元/平",112.0
江北,大石坝,东海岸,3室2厅,96.46平米,北,精装,高楼层(共32层),2010年建,"12,752元/平",123.0
江北,南桥寺,承誉德天下城,2室1厅,57.01平米,东,简装,高楼层(共33层),2009年建,"14,121元/平",80.5
江北,北滨路,龙湖春森彼岸四期,2室2厅,75.89平米,北 东北,精装,50层,2018年建,"22,401元/平",170.0
江北,观音桥,聚丰纵横国际广场,2室1厅,72.12平米,南,精装,高楼层(共32层),2015年建,"18,303元/平",132.0
江北,冉家坝,蜂巢,2室1厅,86.56平米,东,简装,高楼层(共27层),2007年建,"11,183元/平",96.8
江北,大石坝,东方明珠,3室2厅,50.37平米,西北,精装,中楼层(共19层),2008年建,"19,457元/平",98.0
江北,五里店,融景城郦苑,4室1厅,174.68平米,南,精装,高楼层(共40层),2013年建,"18,320元/平",320.0
江北,观音桥,富力海洋,3室2厅,109平米,东南,精装,中楼层(共31层),2009年建,"16,514元/平",180.0
江北,石子山,龙湖源著北区,2室1厅,58平米,东,精装,39层,2015年建,"20,173元/平",117.0
江北,龙头寺,鲁能星城十一街区,2室2厅,83.89平米,北,简装,中楼层(共32层),2008年建,"15,259元/平",128.0
江北,大石坝,东海岸焦点,1室1厅,38.93平米,东南,简装,高楼层(共31层),2010年建,"12,073元/平",47.0
江北,海尔路,海语江山,2室1厅,76.26平米,西北,简装,高楼层(共32层),2013年建,"14,031元/平",107.0
江北,大石坝,东原D8公馆,1室0厅,35.07平米,南,简装,高楼层(共32层),2015年建,"13,973元/平",49.0
江北,鱼嘴,宝科鱼复天街,3室2厅,104.71平米,东南,毛坯,低楼层(共29层),2019年建,"9,073元/平",95.0
江北,五里店,渝能明日城市,2室2厅,64.39平米,南,精装,中楼层(共30层),2012年建,"15,841元/平",102.0
江北,龙头寺,鲁能星城七街区,2室2厅,89.65平米,北,精装,中楼层(共31层),2007年建,"15,059元/平",135.0
江北,海尔路,北大资源江山名门E区,2室2厅,74.04平米,南,精装,中楼层(共33层),2016年建,"12,966元/平",96.0
江北,龙头寺,瑞同优米,2室1厅,57平米,东,精装,高楼层(共34层),2017年建,"16,667元/平",95.0
江北,五里店,融景城臻苑,3室1厅,82.43平米,北,毛坯,高楼层(共31层),2019年建,"22,444元/平",185.0
江北,石马河,万科悦湾北区,2室1厅,76.26平米,东南,精装,中楼层(共14层),2015年建,"15,736元/平",120.0
江北,观音桥,凯洋厚德园,2室1厅,67.9平米,东,简装,低楼层(共32层),2014年建,"12,151元/平",82.5
江北,观音桥,半山华府,1室0厅,38.84平米,东南 东,精装,30层,2010年建,"16,736元/平",65.0
江北,观音桥,鸥鹏K城,3室1厅,103.06平米,南,精装,32层,2007年建,"16,011元/平",165.0
江北,观音桥,煌华晶萃城,1室0厅,42.22平米,东南,精装,35层,2016年建,"16,817元/平",71.0
江北,海尔路,海语江山,1室1厅,51平米,西,精装,中楼层(共32层),2013年建,"12,746元/平",65.0
江北,江北嘴,新鸥鹏教育城二期,2室2厅,64.45平米,北,毛坯,高楼层(共33层),2018年建,"22,499元/平",145.0
江北,石马河,壹江城,1室2厅,54.81平米,东 东南,精装,低楼层(共18层),2011年建,"13,684元/平",75.0
江北,大石坝,东原D7一期,2室2厅,84.39平米,北,精装,33层,2011年建,"17,894元/平",151.0
江北,大石坝,东海岸焦点,2室2厅,71.46平米,西,精装,中楼层(共30层),2010年建,"12,847元/平",91.8
江北,北滨路,财信北岸江山东区,2室1厅,84.31平米,东,精装,低楼层(共33层),2016年建,"17,792元/平",150.0
江北,大石坝,东原D8公馆,1室0厅,33.83平米,南,精装,低楼层(共32层),2015年建,"13,450元/平",45.5
江北,石马河,万科悦湾北区,2室1厅,76.51平米,东南,精装,高楼层(共19层),2017年建,"15,946元/平",122.0
江北,五里店,融景城尚峰,2室2厅,84.38平米,北,精装,高楼层(共36层),2015年建,"20,503元/平",173.0
江北,观音桥,鹏润蓝海A区,1室0厅,32.77平米,东,简装,21层,2009年建,"13,275元/平",43.5
江北,五里店,锦宏嘉园二期,1室1厅,49.71平米,东,精装,中楼层(共35层),2007年建,"12,875元/平",64.0
江北,五里店,山水天成,2室2厅,65.18平米,北,精装,中楼层(共32层),2008年建,"13,333元/平",86.9
江北,五里店,融景城尚峰,2室2厅,85.6平米,西 西北,精装,低楼层(共39层),2015年建,"20,795元/平",178.0
江北,海尔路,鲁能星城十三街区,2室1厅,64.66平米,东南,精装,高楼层(共33层),2018年建,"9,512元/平",61.5
江北,观音桥,俊豪名居,2室1厅,42.39平米,西,精装,中楼层(共30层),2007年建,"15,570元/平",66.0
江北,五里店,锦宏嘉园二期,2室1厅,49.71平米,东,简装,高楼层(共35层),2007年建,"12,473元/平",62.0
江北,南桥寺,光华可乐小镇B区,1室1厅,52.14平米,东,精装,低楼层(共32层),2012年建,"14,577元/平",76.0
江北,观音桥,东和城,1室0厅,52.66平米,东南,精装,低楼层(共30层),2008年建,"14,585元/平",76.8
江北,南桥寺,光华可乐小镇A区,2室1厅,80.07平米,北,精装,高楼层(共32层),2013年建,"13,988元/平",112.0
江北,海尔路,绿地新里樱园,1室1厅,39平米,南,毛坯,24层,2019年建,"9,103元/平",35.5
江北,观音桥,信一金典,1室0厅,43.47平米,东南,精装,中楼层(共31层),2005年建,"13,343元/平",58.0
江北,石马河,凤凰湾天悦,2室2厅,76.63平米,西,毛坯,高楼层(共18层),2018年建,"16,704元/平",128.0
江北,海尔路,北大资源·江山名门B区,2室2厅,79.69平米,东南,精装,33层,2016年建,"12,926元/平",103.0
江北,江北嘴,中海紫御江山紫峰,2室1厅,92.66平米,西,简装,48层,2013年建,"19,750元/平",183.0
江北,海尔路,海语江山,1室1厅,58.67平米,南,精装,高楼层(共32层),2013年建,"12,954元/平",76.0
江北,鸿恩寺,保利江上明珠锦园,2室1厅,61.11平米,西南,毛坯,13层,2015年建,"10,637元/平",65.0
江北,龙头寺,瑞同优米,2室2厅,53.06平米,东南,毛坯,高楼层(共34层),2017年建,"15,078元/平",80.0
江北,石马河,万科悦湾北区,2室1厅,76.73平米,东南,精装,高楼层(共14层),2015年建,"15,640元/平",120.0
江北,石马河,国奥村二期,3室2厅,80.52平米,东南 南,精装,中楼层(共33层),2014年建,"17,139元/平",138.0
江北,观音桥,半山华府,3室2厅,122.64平米,东,精装,31层,2012年建,"15,901元/平",195.0
江北,大石坝,东海岸,2室2厅,57.79平米,南,精装,中楼层(共17层),2010年建,"14,017元/平",81.0
江北,五里店,阳光100,2室1厅,87.21平米,南,精装,高楼层(共34层),2009年建,"13,760元/平",120.0
江北,海尔路,海语江山,1室1厅,51平米,东南,精装,高楼层(共32层),2013年建,"13,138元/平",67.0
江北,海尔路,港城印象东区,2室2厅,84.12平米,西南,毛坯,中楼层(共24层),2015年建,"10,581元/平",89.0
江北,五里店,新鸥鹏教育城一期,3室1厅,91.29平米,东南,毛坯,30层,2017年建,"18,951元/平",173.0
江北,观音桥,鹏润蓝海A区,1室1厅,47.38平米,南,简装,26层,2009年建,"14,353元/平",68.0
江北,大石坝,首创鸿恩国际生活区,2室2厅,83.43平米,东南,简装,高楼层(共31层),2012年建,"15,343元/平",128.0
江北,龙头寺,庆业九寨印象,2室1厅,84.37平米,北,精装,中楼层(共34层),2014年建,"15,290元/平",129.0
江北,大石坝,首创鸿恩中心,1室1厅,50.09平米,南,精装,低楼层(共43层),2015年建,"12,977元/平",65.0
江北,石子山,龙湖源著南区,2室1厅,86.33平米,南,毛坯,32层,2012年建,"19,924元/平",172.0
江北,观音桥,万科兴城,1室1厅,62.55平米,北,简装,中楼层(共18层),2000年建,"11,032元/平",69.0
江北,大石坝,东方明珠,2室1厅,63.45平米,东南,精装,中楼层(共32层),2015年建,"13,554元/平",86.0
江北,大石坝,东原D8公馆,1室0厅,35.07平米,南,简装,高楼层(共32层),2015年建,"13,830元/平",48.5
